               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.044088,            0.028217,           0.0030898,             0.80702,             0.79602,             0.84624,             0.47924,            0.042922,             0.02455,           0.0024973,             0.00208,             0.00208,             0.00208
                  82,            0.044043,            0.027913,           0.0032735,             0.79694,             0.80909,              0.8434,             0.47442,            0.042179,             0.02454,           0.0024339,            0.001981,            0.001981,            0.001981
                  83,             0.04362,            0.027133,           0.0033321,             0.80316,             0.79658,             0.82174,             0.47399,            0.042126,            0.024753,           0.0025155,            0.001882,            0.001882,            0.001882
                  84,            0.044354,            0.028334,            0.003406,             0.77846,             0.79961,             0.83275,             0.46929,            0.042793,            0.024639,           0.0023704,            0.001783,            0.001783,            0.001783
                  85,            0.042698,            0.027005,           0.0029831,             0.79966,             0.79703,             0.84201,             0.47889,            0.042341,            0.024395,            0.002379,            0.001684,            0.001684,            0.001684
                  86,            0.042488,            0.026935,           0.0028572,             0.80707,             0.80349,             0.84199,             0.48181,            0.042175,            0.024654,           0.0023632,            0.001585,            0.001585,            0.001585
                  87,            0.043014,            0.026368,           0.0032049,             0.81037,             0.81482,             0.85284,             0.47393,            0.042191,            0.024288,            0.002338,            0.001486,            0.001486,            0.001486
                  88,            0.043367,            0.027991,           0.0031966,             0.82554,             0.79807,             0.87517,             0.49606,            0.042011,            0.024272,           0.0023148,            0.001387,            0.001387,            0.001387
                  89,            0.042799,            0.026296,           0.0029864,             0.80531,             0.79658,             0.83522,             0.49048,            0.042033,            0.024133,           0.0023039,            0.001288,            0.001288,            0.001288
                  90,            0.042379,            0.027148,           0.0030703,             0.82475,             0.80526,             0.85473,             0.50534,            0.041616,            0.023909,            0.002306,            0.001189,            0.001189,            0.001189
                  91,             0.04312,            0.027979,           0.0030273,             0.80543,             0.80179,             0.84669,             0.49976,            0.041821,             0.02407,           0.0022732,             0.00109,             0.00109,             0.00109
                  92,            0.042843,             0.02783,           0.0030474,             0.85319,              0.8071,             0.87255,             0.51349,            0.041838,            0.023857,           0.0023002,            0.000991,            0.000991,            0.000991
                  93,            0.042129,            0.026884,           0.0028983,             0.89719,             0.76879,             0.86403,             0.51011,            0.041699,            0.023886,           0.0022988,            0.000892,            0.000892,            0.000892
                  94,            0.041696,            0.026669,           0.0028229,             0.86842,             0.77971,             0.86292,             0.51711,            0.041511,            0.023889,           0.0022356,            0.000793,            0.000793,            0.000793
                  95,            0.041834,            0.027029,            0.002894,             0.91561,             0.78257,             0.86153,             0.50917,            0.041422,            0.023873,           0.0021841,            0.000694,            0.000694,            0.000694
                  96,            0.041701,            0.026597,           0.0029484,             0.92543,             0.78213,             0.86221,             0.51266,            0.041506,            0.023701,           0.0021575,            0.000595,            0.000595,            0.000595
                  97,            0.041894,            0.026973,            0.003064,             0.94484,             0.77674,             0.85848,             0.50445,             0.04143,            0.023655,           0.0021708,            0.000496,            0.000496,            0.000496
                  98,            0.042776,            0.027684,           0.0029766,             0.90571,             0.77984,             0.87882,             0.50068,            0.041358,            0.023793,           0.0022073,            0.000397,            0.000397,            0.000397
                  99,            0.041469,            0.026336,           0.0029651,             0.87849,             0.77721,             0.87959,             0.49718,            0.041376,            0.023768,            0.002227,            0.000298,            0.000298,            0.000298
